# KEY MDate MDate450 File_Name JD Elev T225 RMS RMS_450 Steve_offset_x Steve_offset_y Cal_f Cal_f_err Cal_f_450 Cal_f_err_450 AC_cal AC_cal_err AC_cal_450 AC_cal_err_450 JCMT_Offset_x JCMT_Offset_y JCMT_Offset_x_450 JCMT_Offset_y_450 XC_off_x XC_off_x_err XC_off_y XC_off_y_err XC_off_x_450 XC_off_x_err_450 XC_off_y_450 XC_off_y_err_450 B B_err M M_err B_450 B_err_450 M_450 M_err_450 AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err AC_amp_450 AC_amp_err_450 AC_sig_x_450 AC_sig_x_err_450 AC_sig_y_450 AC_sig_y_err_450 AC_theta_450 AC_theta_err_450 dx dy dx_450 dy_450 ddx ddy 
20151222-18 20151222 20151222 NGC1333_20151222_00018 2457378.7054744996 52.0 0.061 0.01119 0.1509 0.0 0.0 1.0316478369871247 0.007444994400591138 0.9033436206436553 0.019262695080888594 1.0575209357366093 0.3294029243131375 0.9178302979803279 2.0380461188496173 0.0 0.0 0.0 0.0 0.0 0.21414113518520023 0.0 0.23079598547100671 0.0 0.4505781890590037 0.0 0.4882424813228376 38457.866730399415 431.7993494885801 -567.5847615516002 15.695415225611262 1151736.632515998 15530.46058193222 -19180.60535219783 564.5145731890783 37287.31084708408 2515.1031041108954 5.883460577338072 0.573701315344509 4.960404385548404 0.4160917216757309 4.126162149051694 0.3910488585480099 1213367.7169915033 56226.007654672525 4.137990876205417 0.2120830830221136 4.631307364827691 0.25773676408828733 -2.7694294424425485 0.3225638141700669 0.0 0.0 0.0 0.0 0.0 0.0
20160115-10 20160115 20160115 NGC1333_20160115_00010 2457402.685543999 64.0 0.081 0.01242 0.2373 0.004120718027861628 4.802532886089779 0.9618911284081223 0.006362325923446226 0.7693871020068906 0.029916683097768064 0.9937091247694135 0.31455428554850445 0.8375649257955597 2.243695995947419 -2.0 -1.0 -2.0 -2.0 -1.999927903394962 0.22711432547278645 -1.1304213008810393 0.2553135138848265 -2.003468157075247 0.19360988870355889 -2.1383796972482685 0.2241688180750992 36281.36851945084 388.9179626837848 -504.94777232488934 14.136725736230131 1013040.349838923 15663.150964849707 -16097.257966024526 569.3377235279953 35198.16078070518 1940.1017722226636 6.369957228099053 0.5557298136893983 4.9723972356934105 0.34278951528933815 -2.1582071807995935 0.23010592584376846 1052982.7534784868 61697.83400708347 4.94473962776826 0.3841410766341729 4.258615098437844 0.28292770443265985 -1.6741293878684034 0.29838916320666947 -0.00021628981511412348 0.39126390264311794 0.006936314150493672 0.27675939449653697 -0.0071526039656077955 0.11450450814658097
20160205-17 20160205 20160205 NGC1333_20160205_00017 2457423.7525346987 68.0 0.037 0.0125 0.09699 0.5091903537765256 4.865010475837787 0.9745107719056448 0.016206785466468983 0.7170719450047804 0.07090727642876951 0.9880678165200215 0.2596942013851646 0.6992621847320419 0.9893161113258542 -10.0 7.0 -14.0 7.0 -10.01348305536024 0.22371727275441744 7.0429002228565025 0.24638436664300437 -14.083245278397385 0.17179948318904106 7.25656153805167 0.19473479739626817 38296.717882868965 319.3792936066335 -499.5864660797782 11.609074027341459 956500.4001677635 5816.570127974265 -11417.879090653612 211.4257098057116 36979.94633457728 1848.7353462258413 6.437287337088223 0.5194779402382871 5.366413918297233 0.35919662371693806 -2.1532060596360503 0.2994788481314354 950433.0844861534 22185.399645187317 5.473338895352449 0.18307998114684423 6.165927748545031 0.24463850509767868 6.13791203517028 0.1771483033997392 0.04044916608071958 -0.12870066856950757 0.16649055679476987 -0.5131230761033407 -0.1260413907140503 0.38442240753383317
20160229-17 20160229 20160229 NGC1333_20160229_00017 2457447.7127894014 62.0 0.042 0.01093 0.09659 0.30684445502356783 0.7568385104107244 0.9878985006953654 0.008283504829510761 0.7734098699721413 0.04015145141350923 0.9706072277465617 0.2920867361913583 0.6936546776385263 0.87545857756742 -9.0 9.0 -12.0 7.0 -9.065942908838338 0.21619112928745013 9.062398998200848 0.22902011584019188 -12.045493566239287 0.16024864479855735 7.3332027822986845 0.165699721920883 35155.56900721079 353.26671340757457 -483.17386141140025 12.840843338677223 909688.5918253892 5108.056766710045 -11245.063145292257 185.67205626433312 33826.80686552385 2040.7633152635444 5.258514432976741 0.4139091110393084 6.257440268371396 0.5777114198816222 8.751547434411197 0.3744812605979119 907192.8287454364 21746.043009844703 5.556624348496739 0.18470360926945034 5.724117113535554 0.1960798393631961 -0.5310267792608757 0.8265942159312863 0.19782872651501293 -0.18719699460254446 0.09098713247857404 -0.666405564597369 0.10684159403643889 0.47920856999482453
20160325-11 20160325 20160325 NGC1333_20160325_00011 2457472.7035532 42.0 0.057 0.01171 0.2264 0.7286147878140696 -2.0808050749555385 0.9072687465437254 0.010267894713001031 0.6514472831397907 0.022447193082540305 0.8917724053320208 0.27217273542994097 0.6065017940707286 1.3946433232565034 -5.0 16.0 -7.0 17.0 -5.203870200392856 0.2044117230250522 15.887468635245824 0.2194220121254481 -7.174364009268572 0.15550545684895534 17.14308513592303 0.1720468273615455 31412.946034418783 304.1494895739204 -412.48352484966097 11.055487993265057 720470.9838287627 7169.237645691472 -8728.534023325006 260.59363402482865 30140.159386882275 1716.1494941505428 6.441367283256227 0.5870674979360289 5.481810666621135 0.42489148219348943 4.080761770059303 0.3950955823244215 728685.7958088522 28499.88987801279 5.2669610259661095 0.2754248261752488 5.8320639070919125 0.34213177230084296 -6.688708126538069 0.36763724218229565 0.6116106011785689 0.33759409426252773 0.34872801853714464 -0.2861702718460606 0.2628825826414243 0.6237643661085883
20160802-31 20160802 20160802 NGC1333_20160802_00031 2457603.1466551013 69.0 0.094 0.01173 0.265 -0.7202767093321012 1.7591065656180283 1.0095605761140638 0.006216555923050318 1.0089328384490497 0.04499076030044511 1.0232936545718583 0.33037510470688575 0.9744771076921189 3.5288436601795032 4.0 -2.0 7.0 -2.0 3.9885523083643477 0.23347014689827167 -2.0948423678548806 0.2560149142467413 7.0823683971631795 0.19996276760504172 -2.098584851092255 0.2299188092099522 35851.85014390865 419.88163356798714 -533.5324035332204 15.262220016121049 1196172.2337353888 28482.91509755706 -21519.17897832724 1035.3215707419374 34940.896628796 2240.918179643061 4.734101042842945 0.36459547465978165 6.04374433909284 0.5732403018993885 -3.7408930198228787 0.2572163975993632 1317205.5809907082 127500.44672307251 4.309653908475363 0.4882613665903852 3.66032811044955 0.37046422154898245 -8.039974880649083 0.43192627308829873 0.03434307490695687 0.28452710356464195 -0.1647367943263589 0.19716970218451024 0.19907986923331578 0.0873574013801317
20160830-48 20160830 20160830 NGC1333_20160830_00048 2457630.972650498 37.0 0.09 0.01289 0.5396 1.2127292690169886 -0.33868250605095795 1.0083558503615426 0.010859066529782458 0.897421133865758 0.005888161012665122 1.0305665691545522 0.3139681232149667 0.8674518937934581 13.68730243249038 -1.0 0.0 -1.0 -1.0 -1.073820728741481 0.23121710749530525 -0.14594966651594632 0.24669630473938875 -0.9469800432912905 0.22175255615343045 -1.0932971445790542 0.22892714783723184 36406.49153106387 401.6935751560544 -540.6800181379726 14.601104608811834 1058103.1029876964 98808.74228355009 -17213.797301952774 3591.585433243627 35425.133445827334 2300.7332137707513 5.917468714767815 0.5504907844846308 4.839935712546245 0.38252546628963313 4.060167731788233 0.3204481246590337 1223225.4060767826 538017.1925850374 3.6637501953583826 1.6786236109058845 4.135826548224025 1.95983430836379 8.76924110016223 2.78795591910262 0.2214621862244428 0.43784899954783896 -0.10603991341741903 0.1865942891581085 0.32750209964186183 0.25125471038973046
20161119-88 20161119 20161119 NGC1333_20161119_00088 2457712.020995401 50.0 0.067 0.008533 0.1549 0.37201549348881047 1.900255035495979 1.038018530341325 0.005093604748428119 0.8836688987404252 0.007609621943224966 1.0530817778245016 0.3142808328967596 0.9328108531273026 1.8241281704340424 -6.0 14.0 -7.0 14.0 -6.18418988725881 0.22455683494899 13.78320934488093 0.24686860583562478 -7.24912101544038 0.20204962788403658 13.982627734790356 0.23165259953057837 38729.35204100813 410.348864488898 -563.1088430473187 14.915714598780246 1156304.1424820314 14118.001989177586 -19785.97401601323 513.1733128547755 37609.20128922777 2353.584467991803 5.98068319764811 0.5528825643042111 4.944746397678803 0.384502431563491 1.0009529377287831 0.32635314026680384 1220706.9704673905 45479.071098916356 3.9906245762279138 0.1619846718587564 4.635282407273871 0.2155522908748782 0.10608985531716403 0.1843186732055145 0.5525696617764311 0.6503719653572091 0.49824203088076047 0.03474453041928882 0.05432763089567061 0.6156274349379203
20161126-21 20161126 20161126 NGC1333_20161126_00021 2457718.734976899 37.0 0.048 0.01009 0.1013 1.9833707557560425 1.6288147038156018 1.149097319768195 0.009940973208621902 1.247346431256402 0.02202934896254534 1.168443412711809 0.3557642208765551 1.1804154489270544 2.1963431970318603 0.0 -2.0 0.0 -3.0 -0.0344581542931337 0.22499887903820262 -2.280521651902916 0.24298945512406567 -0.12992378540002392 0.19106576122866087 -3.4069232513039083 0.20515332948101334 45489.88664782248 512.3931220010802 -685.1784745345155 18.624907310744483 1746533.3596743608 21330.330494884536 -31154.18727890354 775.3332554258546 44412.12977493539 2922.335978838331 5.816368624720471 0.5432694069847243 4.777657821341839 0.3793083412294961 0.9707506436467461 0.32314834209853127 1861205.8973585672 74414.77294501213 4.29880149575026 0.20116757176644326 4.003047246839249 0.17633207004733284 -4.732312396473392 0.4087220494180135 0.10337446287940111 0.8415649557087477 0.25984757080004783 0.8138465026078165 -0.15647310792064673 0.02771845310093113
20170206-29 20170206 -1 NGC1333_20170206_00029 2457790.8069560006 49.0 0.124 0.01383 -1 1.631314371638962 3.3743280780316907 0.9317507388748897 0.007077115467713653 -1 -1 0.9362205068275792 0.27631829380000206 1.0547594886795424 18.905680363556215 -5.0 13.0 -6.0 12.0 -5.064245022074715 0.21715687567230552 12.447994216134674 0.23769225550914963 -6.118186886657469 0.265014096307084 11.629427234960502 0.3088484437776673 31969.468231271952 323.1104703277493 -451.65253687769945 11.74469819691906 1345377.7450240913 164685.56185371144 -25063.868164381704 5986.132912961936 30949.495734730084 1857.0097810451555 6.076544560015632 0.5471258388295428 5.097507279268454 0.38966826041278607 -17.866854470498044 0.3494767420998948 1708313.058827741 1013835.2553556106 3.013908644890752 1.789984327808044 3.7288728406563365 2.386009432147363 0.166839318531711 1.9698760600178373 0.19273506622414516 1.6560173515959775 0.2363737733149378 0.7411455300789953 -0.04363870709079265 0.9148718215169822
20170318-15 20170318 -1 NGC1333_20170318_00015 2457830.7235531993 44.0 0.111 0.01487 -1 1.7176733289634456 4.502002583728194 0.9262502666636921 0.007883934038191322 -1 -1 0.9185379805742434 0.2675076268836396 1.0289012669151327 29.296398244438095 -4.0 15.0 -5.0 14.0 -4.1363976369281374 0.20514212004341129 14.815375671169335 0.21510239673035209 -5.24397220646506 0.2907420088016128 13.545667222986339 0.2783414722378648 31547.416415812353 307.289373714458 -435.85738946700576 11.169619297966102 1352699.4375051195 249164.23736898776 -23892.665903961708 9056.836579526836 30422.466541479287 1844.7420570477293 5.991448532134009 0.533709379541842 5.370322385232258 0.4324887181857934 51.19726835882095 0.587352127612563 1668435.4635847209 1448376.329681819 3.2151991740024974 2.8303503857829733 3.8187470480689267 3.4733515782380158 -41.83356363471874 3.694965651189641 0.40919291078441233 0.5538729864919958 0.48794441293011914 0.9086655540273227 -0.07875150214570681 -0.35479256753532695
20170624-19 20170624 -1 NGC1333_20170624_00019 2457929.1533681005 37.0 0.085 0.01157 -1 -0.8868520239101366 1.377673391641423 1.0442465121592892 0.0033811231589425303 -1 -1 1.0665426473902098 0.3209783528343008 1.1120041382747157 7.862470961113414 -1.0 -2.0 -2.0 -2.0 -1.06232334688616 0.23176844101651137 -2.2159676538759356 0.25430464845281303 -1.8651300491058862 0.19269294955884173 -2.089726371729739 0.2133977903037878 39972.30228500605 424.1342665072309 -576.7357767361772 15.416798145761616 1584584.8897721039 72074.12880936294 -27756.350056826857 2619.8126096850965 38839.14576754112 2330.2452856277623 4.884489898860397 0.36053540923060645 6.126256887724576 0.5535914371900031 -0.5976156018277261 0.2659926402956959 1770457.858997655 367064.92531210923 4.261449067295094 1.0136498409383579 3.672717349071943 0.7975342602713653 -20.7029313560847 1.027594225952928 0.18697004065847977 0.6479029616278069 -0.2697399017882276 0.17945274345947837 0.4567099424467074 0.46845021816832855
