# KEY MDate MDate450 File_Name JD Elev T225 RMS RMS_450 Steve_offset_x Steve_offset_y Cal_f Cal_f_err Cal_f_450 Cal_f_err_450 AC_cal AC_cal_err AC_cal_450 AC_cal_err_450 JCMT_Offset_x JCMT_Offset_y JCMT_Offset_x_450 JCMT_Offset_y_450 XC_off_x XC_off_x_err XC_off_y XC_off_y_err XC_off_x_450 XC_off_x_err_450 XC_off_y_450 XC_off_y_err_450 B B_err M M_err B_450 B_err_450 M_450 M_err_450 AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err AC_amp_450 AC_amp_err_450 AC_sig_x_450 AC_sig_x_err_450 AC_sig_y_450 AC_sig_y_err_450 AC_theta_450 AC_theta_err_450 dx dy dx_450 dy_450 ddx ddy 
20151226-52 20151226 -1 NGC2071_20151226_00052 2457382.994213 51.0 0.116 0.01373 -1 0.0 0.0 0.9471906545541439 0.01021528188162118 -1 -1 0.9526016774648665 0.10815364623485751 1.0643260377518293 177.15309276478456 0.0 0.0 0.0 0.0 0.0 0.2691618818663731 0.0 0.3174098909718167 0.0 41.04815892303524 0.0 2.1966773233131964 5977.023420084572 52.41293782825639 -77.57402749693424 1.905150684636399 239063.4440348013 466988.05071508826 -2295.2801824144162 16974.484259568344 5924.136925013457 190.9312681654436 5.211245161423372 0.2280704829678059 6.01328646201884 0.3219954713371616 0.07324633264040306 0.1939317053366396 704888.0582229088 -5.0 0.6495257363929068 -5.0 0.7438720770679201 -5.0 12.721250229712592 -5.0 0.0 0.0 0.0 0.0 0.0 0.0
20160116-27 20160116 20160116 NGC2071_20160116_00027 2457403.8473958 70.0 0.058 0.008191 0.07416 1.6019927306243988 -2.602622362678151 1.1349812931189591 0.008953868014312258 1.1780649128630483 0.02648464943775215 1.1498802510625983 0.11635151782283644 1.183627902461137 0.7990474044380645 -3.0 -4.0 -5.0 -4.0 -3.062710940866026 0.20535151296206533 -3.728786935030314 0.23835043759010574 -4.532325299855842 0.7769103098349912 -3.0 0.806159065334699 8073.072147712428 66.17747302695764 -106.85575512164738 2.4054758859577454 187616.54150312964 2339.8941287996627 -2832.4939318415527 85.05249044805672 8029.077201113792 243.6474353775669 5.835133754802278 0.28201742086213866 5.1599522248877845 0.21066420177721062 1.4727016781337363 0.2099756116150077 195991.60047135275 8603.866536642257 4.506960850300962 0.22590530290465394 4.813022751901657 0.24974339097528298 -11.722416350156509 0.5840931147970977 0.18813282259807806 -0.813639194909058 -0.9353494002883167 -2.0 1.1234822228863948 1.186360805090942
20160206-15 20160206 20160206 NGC2071_20160206_00015 2457424.720509298 58.0 0.046 0.01115 0.08892 -0.4813157678151424 -2.7103028051921987 1.0805708051990652 0.01615696588412716 1.0231154359508985 0.022271651328507117 1.0964458026020354 0.11097835356130369 1.0019462605547058 1.02201538279807 9.0 -14.0 10.0 -16.0 8.809164806512541 0.20784731840070247 -13.629434024071259 0.23530176234674471 10.256710185300904 1.074799119401598 -17.0 1.1035346376444273 7366.246897312111 60.59168218018318 -98.462562043561 2.2024387485772494 132097.53232708853 2537.912465444931 -2036.8548242982142 92.25023183642114 7333.162739183707 232.85428348319698 5.171480669009179 0.2220948699195342 5.726559493353701 0.2826522396856029 -3.058820076002614 0.2625748666008448 139047.66010619944 11492.818649781359 4.498940416624717 0.42606211209618283 4.605838187349429 0.44213493280622157 3.7254898905931966 2.968786958315358 0.5725055804623764 -1.1116979277862242 -0.513420370601807 2.0 1.0859259510641834 -3.1116979277862242
20160229-13 20160229 20160229 NGC2071_20160229_00013 2457447.6876735985 65.0 0.042 0.01245 0.116 -0.5324638613990544 -0.43354362831905124 0.9874808817072847 0.009757680828944496 0.6922310951156324 0.01630749082690007 0.9594643314252831 0.11259414705994865 0.7156057296775961 0.9758702485195763 9.0 -10.0 10.0 -11.0 8.55089487859837 0.18730570975491556 -9.890390530766808 0.2211792217758107 9.415731461673602 1.2019912737657505 -11.0 1.0861787675998262 6371.645900183788 54.89449450542269 -78.51409245906258 1.9953524496450048 96228.90375269158 1738.7292809804271 -1048.5797157048032 63.200832589724584 6301.147935061392 191.0651288093446 6.253682391671544 0.3315791198520722 5.385898349498086 0.22976364981848996 4.625790262038153 0.18076917674452797 98348.53056772341 7644.734641067123 5.554977034417315 0.6115496591766564 5.890163863026023 0.6949447980069575 12.16321636021435 1.3134995933496645 1.3473153642048885 -0.3288284076995751 1.1685370766527967 0.0 0.1787782875520918 -0.3288284076995751
20160329-11 20160329 20160329 NGC2071_20160329_00011 2457476.7037499994 62.0 0.056 0.01045 0.1207 0.28223490831094245 -2.068152014542335 0.9927699307795625 0.005802126442055415 0.8363711707082754 0.022998431015873226 0.9944643816306322 0.11115796807181934 0.8572708586590777 1.2619407817296713 1.0 0.0 1.0 -1.0 1.0934575075179396 0.18912494301146257 0.08383269629842971 0.22480813367905284 147.5707265845411 3551.0922549224097 59.376086413253745 3827.3708701655837 6503.409319588598 55.85394472712946 -83.39656503760139 2.0302273623360856 111499.33913478217 2686.41303735354 -1496.8879217283181 97.64805860320295 6443.856321584396 199.0399994811977 5.2480549919779875 0.22174398175345844 6.066606835135238 0.3148839423969062 3.2183510939332076 0.18489508610069502 114533.77835632447 12686.661191270761 5.318239445733474 0.7560647010522246 4.900967256788153 0.6591828586677745 2.3498366403981947 1.2965183536409344 -0.2803725225538187 -0.25149808889528913 -293.1414531690822 -120.75217282650749 292.86108064652836 120.5006747376122
20160427-13 20160427 20160427 NGC2071_20160427_00013 2457505.715937499 34.0 0.052 0.01617 0.4631 1.726890203174825 -1.2723321959666767 0.7709916190428434 0.01499842404734341 0.3806521062076243 0.023839337228075276 0.7593821001635196 0.11466241977616097 0.44919256407121744 9.55680825928704 4.0 -2.0 3.0 -2.0 3.7022218170208987 0.17569319049684137 -1.9338354026784828 0.2380708972222587 24.851355280646686 0.8719029495961701 -34.315102437159 3.1332974660387567 4790.572201711173 46.11615910681265 -53.430066884056075 1.6762699408484225 63694.24140389505 10789.845092153835 -421.0428793508771 392.19859352135086 4735.747484749184 116.57540285114165 5.44351039755043 0.18889294565804618 7.080355712607488 0.3690220880542948 0.004033239296048203 0.08819559900244121 69004.48101412781 46642.232030594976 6.867377523256052 9.194475659143519 5.396121925283029 5.0752935339856515 1.3866528784079175 2.692857835458333 0.8933345489373039 -0.19849379196455175 -43.70271056129337 64.630204874318 44.596045110230676 -64.82869866628255
20160827-53 20160827 20160827 NGC2071_20160827_00053 2457628.1033102013 42.0 0.083 0.01209 0.4093 2.1641884619276914 -1.3801239117745112 0.9689330616589789 0.007792375307330733 0.8517508214214677 0.05036238078663315 0.9749166320810705 0.10807672758443994 0.7664020054788369 19.055662405350066 5.0 -18.0 7.0 -21.0 4.9262357855444066 0.20803282486376684 -17.772900565547076 0.2503928225078244 80.83545894773583 98.56387743141971 104.28804789871833 1037.50193941465 6200.445526764052 53.404471509366985 -80.65151697777947 1.941191818638485 107730.88363693403 36323.338210416354 -1200.1763891010298 1320.3120445609322 6171.568600569324 173.85391085537353 6.017812274664876 0.28111921764585157 5.110574675406374 0.1907035866403568 4.838162972480942 0.14891309844014275 120139.06976385317 181091.80979953567 6.16023585703206 16.125647829086013 3.9289820807194893 6.209834557796118 -7.673223262398946 2.7000273739133935 0.22129264336678034 -0.6812983033587727 -147.67091789547166 -250.57609579743666 147.89221053883844 249.8947974940779
20161120-88 20161120 -1 NGC2071_20161120_00088 2457713.122569401 41.0 0.093 0.01258 -1 1.794877876428494 -3.5505659649635963 0.930382821734464 0.017701070091333974 -1 -1 0.9643078243617305 0.11759987871263498 1.496562813969407 13.139200987595805 2.0 1.0 2.0 1.0 1.8140947274723658 0.1942032623276907 1.108191889035794 0.24489511703157854 165.02294498118823 797.262120742942 -80.62316692650967 1833.564534860866 6266.91639555813 57.57798567064262 -79.18097533299056 2.092894289392971 218115.18678836589 48549.7511116652 -4509.805041029472 1764.7282399821943 6225.303626911899 172.0049162971186 5.143332786935458 0.18931548369684165 6.269449544740375 0.3067336282246892 -0.0006803744351771326 0.12106620631476554 269649.5200210134 313984.6139814505 3.131059412101069 3.6870910809019577 3.339699652903789 3.973025296661668 -3.5974979529272946 12.952161216637958 0.5577158175829027 -0.32457566710738206 -326.04588996237646 163.24633385301934 326.60360577995937 -163.57090952012672
20161126-56 20161126 20161126 NGC2071_20161126_00056 2457719.0034837984 69.0 0.063 0.008619 0.1142 -1.5627207861157628 3.2498777732713235 1.1255621964425877 0.007554022320365615 0.9307456582383749 0.01380304490286341 1.1274939358466474 0.12359134536234645 0.9358642928208819 1.0767105770956311 1.0 -4.0 1.0 -4.0 0.9904494183894599 0.19468231985482848 -3.997118119092761 0.2313544404189315 1.4191414084928624 1.051333414975336 -4.0 0.99047635320124 7951.443455416938 69.11502375941747 -103.29765567336294 2.512252506272826 135055.7988717208 2499.416863321588 -1779.9225196547661 90.8509606675329 7893.177032103995 240.01653594739108 5.164249487739003 0.21111690786037485 6.029714317654927 0.30687268218826735 -0.011075031362362833 0.1677431799786495 140545.02685979343 10158.499287836179 4.797586504583789 0.43332451408775585 5.300532139101674 0.5388622012098457 0.1822223614962844 0.590781187427555 0.028651744831620363 -0.008645642721717195 -0.8382828169857248 0.0 0.8669345618173452 -0.008645642721717195
20170206-17 20170206 -1 NGC2071_20170206_00017 2457790.6952893995 51.0 0.113 0.01224 -1 2.757324983851864 -0.7384976774802409 1.0611367357621113 0.012926544528953346 -1 -1 1.0489451445319498 0.11028745014329717 0.9160798685451611 27.097098864051695 9.0 -17.0 13.0 -20.0 8.880614284299782 0.20634502833676477 -16.66238591231547 0.23505487475032172 17.3203865048456 -5.0 135.31655803227994 -5.0 6767.05151377812 57.9796954313185 -91.28960560995199 2.1074959901904085 114778.29479264207 61588.297471890626 -1706.3670907899825 2238.6645641285736 6741.995123930493 222.75184496205682 5.683262304978444 0.28975968635279303 5.142675427292308 0.2287648207950674 -20.377372619037573 0.2759192275456734 702165.477226809 -5.0 1.0261910509149885 -5.0 0.8348319931782586 -5.0 9.23670221724078 -5.0 0.3581571471006555 -1.0128422630535852 -8.640773009691202 -310.6331160645599 8.998930156791857 309.6202738015063
